Country,Military_Spending,Percent_Share_of_GDP,Per_Capita
United States,916014.7,3.4,2694.18
China,296438.56,1.7,207.93
Russia,109454.39,5.9,757.76
India,83574.57,2.4,58.5
Saudi Arabia,75813.33,7.1,2051.95
United Kingdom,74942.84,2.3,1106.38
Germany,66826.63,1.5,802.29
Ukraine,64753.19,36.7,1762.23
France,61301.29,2.1,946.64
Japan,50161.09,1.2,406.84
