Company,Funding_Amount,Projects_Sponsored,Projects_Proposed
BAE Systems,"$1,974,068",8,8
General Dynamics,$0,0,3
Boeing,"$41,178,819.00",52,58
Northrop Grumman,"$1,456,347.00",8,10
Raytheon (RTX),"$1,097,763",8,10
Lockheed Martin,"$12,567,193",31,40
