date,name,category,value
2014-01-01,Nexter,France,1260
2014-01-01,Dassault Aviation Group,France,1260
2014-01-01,DynCorp International,United States,1670
2014-01-01,Austal,Australia,1160
2014-01-01,The Babcock & Wilcox Companies,United States,1540
2014-01-01,GenCorp,United States,1520
2014-01-01,IHI Corp.,Japan,970
2014-01-01,Vectrus,United States,1510
2014-01-01,Korea Aerospace Industries,South Korea,1110
2014-01-01,Jacobs Engineering Group,United States,1470
2014-01-01,ASELSAN,Türkiye,640
2014-01-01,Sierra Nevada Corp.,United States,1420
2014-01-01,Mitsubishi Electric Corp.,Japan,850
2014-01-01,Samsung Techwin,South Korea,980
2014-01-01,Triumph Group,United States,1300
2014-01-01,Precision Castparts Corp.,United States,1290
2014-01-01,QinetiQ,United Kingdom,970
2014-01-01,GKN,United Kingdom,970
2014-01-01,Pilatus Aircraft,Switzerland,1030
2014-01-01,NEC Corp.,Japan,790
2014-01-01,Bharat Electronics,India,1090
2014-01-01,Hanwha Corp.,South Korea,910
2014-01-01,Krauss-Maffei Wegmann,Germany,950
2014-01-01,Engility,United States,1200
2014-01-01,ASC,Australia,860
2014-01-01,Kongsberg Gruppen,Norway,730
2014-01-01,Meggitt,United Kingdom,870
2014-01-01,Fujitsu,Japan,730
2014-01-01,Moog,United States,1110
2014-01-01,Turkish Aerospace Industries,Türkiye,480
2014-01-01,UkrOboronProm,Ukraine,1000
2014-01-01,RTI Group,Russia,690
2014-01-01,RUAG,Switzerland,900
2014-01-01,CNH Industrial,Trans-European,810
2014-01-01,Cubic Corp.,United States,1030
2015-01-01,Lockheed Martin Corp.,United States,46830
2015-01-01,Boeing,United States,35930
2015-01-01,BAE Systems,United Kingdom,29150
2015-01-01,Raytheon,United States,27990
2015-01-01,Northrop Grumman Corp.,United States,25780
2015-01-01,General Dynamics Corp.,United States,24730
2015-01-01,NORINCO,China,17210
2015-01-01,AVIC,China,15360
2015-01-01,Rostec,Russia,14810
2015-01-01,Airbus Group,Trans-European,15060
2015-01-01,CASC,China,12550
2015-01-01,CETC,China,12210
2015-01-01,United Technologies Corp.,United States,12210
2015-01-01,Finmeccanica,Italy,10880
2015-01-01,CSGC,China,9240
2015-01-01,L-3 Communications,United States,11270
2015-01-01,Thales,France,9230
2015-01-01,Almaz-Antey,Russia,8340
2015-01-01,Huntington Ingalls Industries,United States,8660
2015-01-01,CSSC,China,6200
2015-01-01,CSIC,China,5410
2015-01-01,Rolls-Royce,United Kingdom,5510
2015-01-01,Harris Corp.,United States,6320
2015-01-01,United Shipbuilding Corp.,Russia,4680
2015-01-01,Booz Allen Hamilton,United States,5010
2015-01-01,Textron,United States,4690
2015-01-01,Mitsubishi Heavy Industries,Japan,3220
2015-01-01,Babcock International Group,United Kingdom,3580
2015-01-01,Honeywell International,United States,4340
2015-01-01,DCNS,France,3800
2015-01-01,Leidos,United States,4230
2015-01-01,MBDA,Trans-European,3700
2015-01-01,General Electric,United States,3840
2015-01-01,Rheinmetall,Germany,3450
2015-01-01,Science Applications International Corp.,United States,3660
2015-01-01,Elbit Systems,Israel,3290
2015-01-01,Israel Aerospace Industries,Israel,3260
2015-01-01,Bechtel Corp.,United States,3410
2015-01-01,Saab,Sweden,2650
2015-01-01,Sandia National Laboratories,United States,3150
2015-01-01,CACI International,United States,3140
2015-01-01,Tactical Missiles Corp.,Russia,2700
2015-01-01,Safran,France,2710
2015-01-01,Hindustan Aeronautics,India,2690
2015-01-01,Rockwell Collins,United States,2850
2015-01-01,Indian Ordnance Factories,India,2500
2015-01-01,AECOM,United States,2760
2015-01-01,CSRA,United States,2660
2015-01-01,Fluor Corp.,United States,2630
2015-01-01,General Atomics,United States,2600
2015-01-01,Hewlett-Packard Company,United States,2570
2015-01-01,Rafael,Israel,2320
2015-01-01,Cobham,United Kingdom,2060
2015-01-01,CEA,France,2220
2015-01-01,ThyssenKrupp,Germany,2270
2015-01-01,Kawasaki Heavy Industries,Japan,1740
2015-01-01,Dassault Aviation Group,France,2110
2015-01-01,United Launch Alliance,United States,2220
2015-01-01,LIG Nex1,South Korea,1710
2015-01-01,ST Engineering,Singapore,1960
2015-01-01,Korea Aerospace Industries,South Korea,1680
2015-01-01,Serco Group,United Kingdom,1720
2015-01-01,Orbital ATK,United States,2090
2015-01-01,Fincantieri,Italy,1750
2015-01-01,ManTech International Corp.,United States,1820
2015-01-01,Engility,United States,1670
2015-01-01,IHI Corp.,Japan,1180
2015-01-01,Aerojet Rocketdyne,United States,1570
2015-01-01,PGZ,Poland,1560
2015-01-01,Vectrus,United States,1520
2015-01-01,Jacobs Engineering Group,United States,1480
2015-01-01,BWX Technologies,United States,1480
2015-01-01,Nexter,France,1290
2015-01-01,Hanwha Techwin,South Korea,1100
2015-01-01,Krauss-Maffei Wegmann,Germany,1240
2015-01-01,Sierra Nevada Corp.,United States,1300
2015-01-01,DSME,South Korea,1020
2015-01-01,ASELSAN,Türkiye,650
2015-01-01,DynCorp International,United States,1270
2015-01-01,Austal,Australia,1080
2015-01-01,Bharat Electronics,India,1100
2015-01-01,GKN,United Kingdom,1000
2015-01-01,Oshkosh Corp.,United States,1210
2015-01-01,Pacific Architects and Engineers,United States,1210
2015-01-01,QinetiQ,United Kingdom,960
2015-01-01,Triumph Group,United States,1140
2015-01-01,Turkish Aerospace Industries,Türkiye,580
2015-01-01,Moog,United States,1130
2015-01-01,Pilatus Aircraft,Switzerland,990
2015-01-01,Meggitt,United Kingdom,920
2015-01-01,UkrOboronProm,Ukraine,1280
2015-01-01,Cubic Corp.,United States,1110
2015-01-01,Vencore,United States,1090
2015-01-01,Precision Castparts Corp.,United States,1080
2015-01-01,Fujitsu,Japan,770
2015-01-01,The Aerospace Corp.,United States,1070
2015-01-01,Mitsubishi Electric Corp.,Japan,760
2015-01-01,RUAG,Switzerland,930
2015-01-01,Embraer,Brazil,830
2015-01-01,Curtiss-Wright Corp.,United States,1020
2016-01-01,Lockheed Martin Corp.,United States,51570
2016-01-01,Boeing,United States,37450
2016-01-01,BAE Systems,United Kingdom,28510
2016-01-01,Raytheon,United States,29080
2016-01-01,Northrop Grumman Corp.,United States,27160
2016-01-01,General Dynamics Corp.,United States,24370
2016-01-01,NORINCO,China,18450
2016-01-01,AVIC,China,15230
2016-01-01,Rostec,Russia,15350
2016-01-01,CASC,China,13650
2016-01-01,Airbus Group,Trans-European,14660
2016-01-01,CETC,China,11690
2016-01-01,CASIC,China,10110
2016-01-01,Leonardo,Italy,9980
2016-01-01,Thales,France,9320
2016-01-01,CSGC,China,8610
2016-01-01,L3 Technologies,United States,9680
2016-01-01,United Technologies Corp.,United States,8720
2016-01-01,Huntington Ingalls Industries,United States,8530
2016-01-01,CSIC,China,6570
2016-01-01,Almaz-Antey,Russia,7100
2016-01-01,CSSC,China,6360
2016-01-01,Rolls-Royce,United Kingdom,5760
2016-01-01,Textron,United States,6040
2016-01-01,Leidos,United States,5460
2016-01-01,Harris Corp.,United States,5330
2016-01-01,United Shipbuilding Corp.,Russia,4720
2016-01-01,Booz Allen Hamilton,United States,5080
2016-01-01,Mitsubishi Heavy Industries,Japan,3070
2016-01-01,General Electric,United States,4560
2016-01-01,Honeywell International,United States,4420
2016-01-01,DCNS,France,3970
2016-01-01,Babcock International Group,United Kingdom,3990
2016-01-01,Rheinmetall,Germany,3910
2016-01-01,MBDA,Trans-European,3790
2016-01-01,Elbit Systems,Israel,3420
2016-01-01,CACI International,United States,3590
2016-01-01,Bechtel Corp.,United States,3580
2016-01-01,Saab,Sweden,2800
2016-01-01,Hindustan Aeronautics,India,3170
2016-01-01,AECC,China,2820
2016-01-01,Science Applications International Corp.,United States,3340
2016-01-01,Israel Aerospace Industries,Israel,3040
2016-01-01,Sandia National Laboratories,United States,3300
2016-01-01,Safran,France,2970
2016-01-01,Tactical Missiles Corp.,Russia,2940
2016-01-01,Indian Ordnance Factories,India,2610
2016-01-01,CSRA,United States,2860
2016-01-01,Hanwha Techwin,South Korea,2320
2016-01-01,Rockwell Collins,United States,2830
2016-01-01,Kawasaki Heavy Industries,Japan,1810
2016-01-01,AECOM,United States,2690
2016-01-01,CEA,France,2300
2016-01-01,Rafael,Israel,2320
2016-01-01,Orbital ATK,United States,2440
2016-01-01,General Atomics,United States,2420
2016-01-01,Fluor Corp.,United States,2410
2016-01-01,ThyssenKrupp,Germany,2120
2016-01-01,Korea Aerospace Industries,South Korea,1820
2016-01-01,ST Engineering,Singapore,2020
2016-01-01,Krauss-Maffei Wegmann,Germany,1920
2016-01-01,Fincantieri,Italy,1880
2016-01-01,LIG Nex1,South Korea,1650
2016-01-01,Cobham,United Kingdom,1830
2016-01-01,Serco Group,United Kingdom,1770
2016-01-01,United Launch Alliance,United States,1870
2016-01-01,ManTech International Corp.,United States,1850
2016-01-01,Dassault Aviation Group,France,1570
2016-01-01,IHI Corp.,Japan,1140
2016-01-01,Oshkosh Corp.,United States,1710
2016-01-01,Engility,United States,1710
2016-01-01,DynCorp International,United States,1620
2016-01-01,BWX Technologies,United States,1590
2016-01-01,GKN,United Kingdom,1430
2016-01-01,ASELSAN,Türkiye,810
2016-01-01,Hewlett Packard Enterprise Company,United States,1520
2016-01-01,Vectrus,United States,1510
2016-01-01,DSME,South Korea,1230
2016-01-01,Aerojet Rocketdyne,United States,1500
2016-01-01,Bharat Electronics,India,1330
2016-01-01,Fujitsu,Japan,960
2016-01-01,Pacific Architects and Engineers,United States,1460
2016-01-01,PGZ,Poland,1570
2016-01-01,Turkish Aerospace Industries,Türkiye,760
2016-01-01,KBR,United States,1380
2016-01-01,UkrOboronProm,Ukraine,1600
2016-01-01,Jacobs Engineering Group,United States,1260
2016-01-01,TransDigm Group,United States,1210
2016-01-01,Austal,Australia,1040
2016-01-01,Meggitt,United Kingdom,1110
2016-01-01,Embraer,Brazil,920
2016-01-01,Nexter,France,1040
2016-01-01,Sierra Nevada Corp.,United States,1140
2016-01-01,Precision Castparts Corp.,United States,1120
2016-01-01,Cubic Corp.,United States,1120
2016-01-01,The Aerospace Corp.,United States,1100
2016-01-01,Vencore,United States,1090
2016-01-01,Mitsubishi Electric Corp.,Japan,690
2016-01-01,Moog,United States,1050
2016-01-01,QinetiQ,United Kingdom,970
2017-01-01,Lockheed Martin Corp.,United States,54530
2017-01-01,Boeing,United States,36600
2017-01-01,Northrop Grumman Corp.,United States,27800
2017-01-01,BAE Systems,United Kingdom,26980
2017-01-01,Raytheon,United States,27390
2017-01-01,General Dynamics Corp.,United States,25840
2017-01-01,Rostec,Russia,18910
2017-01-01,NORINCO,China,18340
2017-01-01,AVIC,China,15970
2017-01-01,CASC,China,14090
2017-01-01,CETC,China,12990
2017-01-01,CASIC,China,11240
2017-01-01,Airbus Group,Trans-European,11370
2017-01-01,Thales,France,9970
2017-01-01,Leonardo,Italy,10080
2017-01-01,Almaz-Antey,Russia,8350
2017-01-01,United Technologies Corp.,United States,9670
2017-01-01,L3 Technologies,United States,9630
2017-01-01,Huntington Ingalls Industries,United States,8040
2017-01-01,CSIC,China,6580
2017-01-01,Rolls-Royce,United Kingdom,6120
2017-01-01,United Shipbuilding Corp.,Russia,4850
2017-01-01,CSGC,China,4940
2017-01-01,CSSC,China,4820
2017-01-01,Honeywell International,United States,5540
2017-01-01,Harris Corp.,United States,5530
2017-01-01,Leidos,United States,5440
2017-01-01,Booz Allen Hamilton,United States,5370
2017-01-01,Naval Group,France,4580
2017-01-01,Textron,United States,5100
2017-01-01,General Electric,United States,4960
2017-01-01,Tactical Missiles Corp.,Russia,3510
2017-01-01,Mitsubishi Heavy Industries,Japan,3060
2017-01-01,Rheinmetall,Germany,3970
2017-01-01,MBDA,Trans-European,3850
2017-01-01,Babcock International Group,United Kingdom,3910
2017-01-01,Bechtel Corp.,United States,3910
2017-01-01,Saab,Sweden,3060
2017-01-01,Elbit Systems,Israel,3330
2017-01-01,CACI International,United States,3700
2017-01-01,Safran,France,3230
2017-01-01,Hindustan Aeronautics,India,3030
2017-01-01,AECC,China,2990
2017-01-01,Science Applications International Corp.,United States,3430
2017-01-01,Sandia National Laboratories,United States,3370
2017-01-01,CSRA,United States,3210
2017-01-01,Israel Aerospace Industries,Israel,2690
2017-01-01,Orbital ATK,United States,2970
2017-01-01,Rockwell Collins,United States,2860
2017-01-01,Indian Ordnance Factories,India,2430
2017-01-01,General Atomics,United States,2760
2017-01-01,Rafael,Israel,2410
2017-01-01,CEA,France,2400
2017-01-01,Kawasaki Heavy Industries,Japan,1830
2017-01-01,Hanwha Techwin,South Korea,2100
2017-01-01,Dassault Aviation Group,France,2340
2017-01-01,AECOM,United States,2570
2017-01-01,Fluor Corp.,United States,2570
2017-01-01,United Launch Alliance,United States,2420
2017-01-01,ThyssenKrupp,Germany,2230
2017-01-01,Oshkosh Corp.,United States,2290
2017-01-01,KBR,United States,2170
2017-01-01,ST Engineering,Singapore,1990
2017-01-01,Krauss-Maffei Wegmann,Germany,1920
2017-01-01,Fincantieri,Italy,1890
2017-01-01,Cobham,United Kingdom,1910
2017-01-01,LIG Nex1,South Korea,1540
2017-01-01,IHI Corp.,Japan,1260
2017-01-01,ASELSAN,Türkiye,1040
2017-01-01,DynCorp International,United States,1760
2017-01-01,GKN,United Kingdom,1710
2017-01-01,ManTech International Corp.,United States,1690
2017-01-01,Bharat Electronics,India,1410
2017-01-01,BWX Technologies,United States,1620
2017-01-01,Engility,United States,1620
2017-01-01,Serco Group,United Kingdom,1510
2017-01-01,Turkish Aerospace Industries,Türkiye,900
2017-01-01,Aerojet Rocketdyne,United States,1520
2017-01-01,TransDigm Group,United States,1480
2017-01-01,PGZ,Poland,1550
2017-01-01,Vencore,United States,1400
2017-01-01,Pacific Architects and Engineers,United States,1400
2017-01-01,Hensoldt,Germany,1310
2017-01-01,Fujitsu,Japan,960
2017-01-01,Vectrus,United States,1390
2017-01-01,Austal,Australia,1080
2017-01-01,Sierra Nevada Corp.,United States,1270
2017-01-01,UkrOboronProm,Ukraine,1400
2017-01-01,DXC,United States,1240
2017-01-01,Nexter,France,1070
2017-01-01,Embraer,Brazil,830
2017-01-01,Precision Castparts Corp.,United States,1180
2017-01-01,DSME,South Korea,930
2017-01-01,Jacobs Engineering Group,United States,1120
2017-01-01,The Aerospace Corp.,United States,1110
2017-01-01,Curtiss-Wright Corp.,United States,1110
2017-01-01,Meggitt,United Kingdom,1070
2017-01-01,Teledyne Technologies,United States,1090
2017-01-01,RUAG,Switzerland,1010
2017-01-01,Moog,United States,1070
2018-01-01,Lockheed Martin Corp.,United States,57330
2018-01-01,Boeing,United States,38960
2018-01-01,Northrop Grumman Corp.,United States,31770
2018-01-01,General Dynamics Corp.,United States,29570
2018-01-01,Raytheon,United States,28430
2018-01-01,BAE Systems,United Kingdom,25720
2018-01-01,Rostec,Russia,18680
2018-01-01,AVIC,China,16950
2018-01-01,NORINCO,China,15210
2018-01-01,CASC,China,14240
2018-01-01,CETC,China,14170
2018-01-01,CASIC,China,12030
2018-01-01,Airbus,Trans-European,12400
2018-01-01,Leonardo,Italy,10550
2018-01-01,Almaz-Antey,Russia,9820
2018-01-01,Thales,France,9810
2018-01-01,United Technologies Corp.,United States,11290
2018-01-01,L3 Technologies,United States,10010
2018-01-01,Huntington Ingalls Industries,United States,8730
2018-01-01,CSIC,China,7070
2018-01-01,Rolls-Royce,United Kingdom,6270
2018-01-01,Honeywell International,United States,6590
2018-01-01,Leidos,United States,6070
2018-01-01,Harris Corp.,United States,6030
2018-01-01,United Shipbuilding Corp.,Russia,4790
2018-01-01,Booz Allen Hamilton,United States,5680
2018-01-01,Naval Group,France,4380
2018-01-01,CSGC,China,4300
2018-01-01,General Electric,United States,4970
2018-01-01,Rheinmetall,Germany,4140
2018-01-01,MBDA,Trans-European,4020
2018-01-01,Mitsubishi Heavy Industries,Japan,3020
2018-01-01,Tactical Missiles Corp.,Russia,3650
2018-01-01,Textron,United States,4250
2018-01-01,CACI International,United States,4230
2018-01-01,CSSC,China,3540
2018-01-01,Elbit Systems,Israel,3580
2018-01-01,Saab,Sweden,3200
2018-01-01,Safran,France,3370
2018-01-01,Sandia National Laboratories,United States,3880
2018-01-01,Babcock International Group,United Kingdom,3620
2018-01-01,AECC,China,3050
2018-01-01,Dassault Aviation Group,France,3040
2018-01-01,Hindustan Aeronautics,India,3070
2018-01-01,Science Applications International Corp.,United States,3400
2018-01-01,AECOM,United States,3360
2018-01-01,General Atomics,United States,3340
2018-01-01,Israel Aerospace Industries,Israel,2860
2018-01-01,Rockwell Collins,United States,3190
2018-01-01,KBR,United States,3150
2018-01-01,Perspecta,United States,3140
2018-01-01,Rafael,Israel,2740
2018-01-01,Fluor Corp.,United States,2900
2018-01-01,Hanwha Aerospace,South Korea,2200
2018-01-01,CEA,France,2390
2018-01-01,Kawasaki Heavy Industries,Japan,1890
2018-01-01,Bechtel Corp.,United States,2430
2018-01-01,Fincantieri,Italy,2040
2018-01-01,Oshkosh Corp.,United States,2240
2018-01-01,ASELSAN,Türkiye,1450
2018-01-01,Indian Ordnance Factories,India,1790
2018-01-01,ThyssenKrupp,Germany,1800
2018-01-01,Korea Aerospace Industries,South Korea,1530
2018-01-01,Cobham,United Kingdom,1810
2018-01-01,DynCorp International,United States,1890
2018-01-01,ST Engineering,Singapore,1780
2018-01-01,Parker-Hannifin Corp,United States,1780
2018-01-01,Krauss-Maffei Wegmann,Germany,1570
2018-01-01,ManTech International Corp.,United States,1730
2018-01-01,Jacobs Engineering Group,United States,1660
2018-01-01,LIG Nex1,South Korea,1270
2018-01-01,TransDigm Group,United States,1610
2018-01-01,Melrose Industries,United Kingdom,1500
2018-01-01,United Launch Alliance,United States,1600
2018-01-01,UkrOboronProm,Ukraine,1650
2018-01-01,Fujitsu,Japan,1060
2018-01-01,Serco Group,United Kingdom,1430
2018-01-01,PGZ,Poland,1520
2018-01-01,Vectrus,United States,1490
2018-01-01,Aerojet Rocketdyne,United States,1480
2018-01-01,Hensoldt,Germany,1310
2018-01-01,Bharat Electronics,India,1270
2018-01-01,Austal,Australia,1200
2018-01-01,Sierra Nevada Corp.,United States,1330
2018-01-01,Nexter,France,1120
2018-01-01,Turkish Aerospace Industries,Türkiye,890
2018-01-01,Engility,United States,1300
2018-01-01,BWX Technologies,United States,1300
2018-01-01,IHI Corp.,Japan,870
2018-01-01,NCSIST,Taiwan,1060
2018-01-01,Precision Castparts Corp.,United States,1240
2018-01-01,CAE,Canada,1140
2018-01-01,Pacific Architects and Engineers,United States,1200
2018-01-01,Parsons Corp.,United States,1200
2018-01-01,Meggitt,United Kingdom,1100
2018-01-01,Curtiss-Wright Corp.,United States,1180
2018-01-01,The Aerospace Corp.,United States,1180
2018-01-01,Moog,United States,1120
2018-01-01,Navantia,Spain,970
2018-01-01,QinetiQ,United Kingdom,1040
2019-01-01,Lockheed Martin Corp.,United States,63420
2019-01-01,Boeing,United States,38660
2019-01-01,Northrop Grumman Corp.,United States,34810
2019-01-01,General Dynamics Corp.,United States,31650
2019-01-01,Raytheon,United States,30170
2019-01-01,BAE Systems,United Kingdom,27310
2019-01-01,Rostec,Russia,18970
2019-01-01,AVIC,China,17330
2019-01-01,NORINCO,China,16160
2019-01-01,CETC,China,15650
2019-01-01,L3Harris Technologies,United States,16590
2019-01-01,United Technologies Corp.,United States,15610
2019-01-01,CASC,China,13410
2019-01-01,CASIC,China,12290
2019-01-01,Airbus,Trans-European,12510
2019-01-01,Leonardo,Italy,12510
2019-01-01,Almaz-Antey,Russia,9470
2019-01-01,Thales,France,10170
2019-01-01,Huntington Ingalls Industries,United States,9220
2019-01-01,Leidos,United States,7510
2019-01-01,CSIC - MERGED!,China,6420
2019-01-01,Dassault Aviation Group,France,6240
2019-01-01,Rolls-Royce,United Kingdom,6470
2019-01-01,Honeywell International,United States,6350
2019-01-01,Booz Allen Hamilton,United States,6120
2019-01-01,EDGE,United Arab Emirates,5200
2019-01-01,CSGC,China,4780
2019-01-01,United Shipbuilding Corp.,Russia,4530
2019-01-01,General Electric,United States,5230
2019-01-01,Naval Group,France,4450
2019-01-01,MBDA,Trans-European,4540
2019-01-01,Elbit Systems,Israel,4310
2019-01-01,CACI International,United States,4770
2019-01-01,Rheinmetall,Germany,4460
2019-01-01,Mitsubishi Heavy Industries,Japan,3210
2019-01-01,Safran,France,3850
2019-01-01,Tactical Missiles Corp.,Russia,3500
2019-01-01,Sandia National Laboratories,United States,3980
2019-01-01,Science Applications International Corp.,United States,3960
2019-01-01,Textron,United States,3940
2019-01-01,CSSC - MERGED!,China,3430
2019-01-01,Babcock International Group,United Kingdom,3790
2019-01-01,AECC,China,3310
2019-01-01,Saab,Sweden,3370
2019-01-01,KBR,United States,3790
2019-01-01,Perspecta,United States,3710
2019-01-01,AECOM,United States,3680
2019-01-01,Israel Aerospace Industries,Israel,3270
2019-01-01,Hindustan Aeronautics,India,3150
2019-01-01,General Atomics,United States,3430
2019-01-01,Hanwha Aerospace,South Korea,2730
2019-01-01,Bechtel Corp.,United States,3180
2019-01-01,Rafael,Israel,2830
2019-01-01,Kawasaki Heavy Industries,Japan,1940
2019-01-01,CEA,France,2420
2019-01-01,ASELSAN,Türkiye,1850
2019-01-01,Fincantieri,Italy,2400
2019-01-01,Oshkosh Corp.,United States,2420
2019-01-01,ThyssenKrupp,Germany,2290
2019-01-01,TransDigm Group,United States,2300
2019-01-01,Indian Ordnance Factories,India,2040
2019-01-01,Fluor Corp.,United States,2160
2019-01-01,Cobham,United Kingdom,2110
2019-01-01,ManTech International Corp.,United States,2040
2019-01-01,ST Engineering,Singapore,1960
2019-01-01,Jacobs Engineering Group,United States,2000
2019-01-01,PGZ,Poland,2100
2019-01-01,Sierra Nevada Corp.,United States,1890
2019-01-01,Parker-Hannifin Corp.,United States,1800
2019-01-01,Korea Aerospace Industries,South Korea,1500
2019-01-01,Serco Group,United Kingdom,1740
2019-01-01,Krauss-Maffei Wegmann,Germany,1690
2019-01-01,BWX Technologies,United States,1760
2019-01-01,Bharat Electronics,India,1580
2019-01-01,United Launch Alliance,United States,1700
2019-01-01,NCSIST,Taiwan,1470
2019-01-01,Parsons Corp.,United States,1610
2019-01-01,Turkish Aerospace Industries,Türkiye,1130
2019-01-01,Vectrus,United States,1570
2019-01-01,UkrOboronProm,Ukraine,1460
2019-01-01,DynCorp International,United States,1530
2019-01-01,LIG Nex1,South Korea,1250
2019-01-01,Aerojet Rocketdyne,United States,1470
2019-01-01,Nexter,France,1270
2019-01-01,Austal,Australia,1290
2019-01-01,Hensoldt,Germany,1300
2019-01-01,Moog,United States,1300
2019-01-01,Pacific Architects and Engineers,United States,1290
2019-01-01,Curtiss-Wright Corp.,United States,1290
2019-01-01,Meggitt,United Kingdom,1230
2019-01-01,Fujitsu,Japan,860
2019-01-01,Precision Castparts Corp.,United States,1230
2019-01-01,Melrose Industries,United Kingdom,1210
2019-01-01,QinetiQ,United Kingdom,1210
2019-01-01,ViaSat,United States,1220
2019-01-01,Hyundai Heavy Industries,South Korea,1010
2019-01-01,CAE,Canada,1130
2019-01-01,Hanwha Corp.,South Korea,990
2019-01-01,Amphenol Corp.,United States,1180
2019-01-01,Keysight Technologies,United States,1170
2020-01-01,Lockheed Martin Corp.,United States,68510
2020-01-01,Raytheon Technologies,United States,43290
2020-01-01,Boeing,United States,38530
2020-01-01,Northrop Grumman Corp.,United States,35800
2020-01-01,General Dynamics Corp.,United States,31720
2020-01-01,BAE Systems,United Kingdom,29020
2020-01-01,NORINCO,China,18140
2020-01-01,Rostec,Russia,18660
2020-01-01,AVIC,China,17180
2020-01-01,CETC,China,14780
2020-01-01,L3Harris Technologies,United States,16700
2020-01-01,CASC,China,13440
2020-01-01,Airbus,Trans-European,13000
2020-01-01,CASIC,China,12010
2020-01-01,Leonardo,Italy,12360
2020-01-01,CSSC,China,9480
2020-01-01,Thales,France,9580
2020-01-01,Huntington Ingalls Industries,United States,9700
2020-01-01,Leidos,United States,8640
2020-01-01,Almaz-Antey,Russia,6570
2020-01-01,Honeywell International,United States,6810
2020-01-01,Booz Allen Hamilton,United States,6470
2020-01-01,Rolls-Royce,United Kingdom,6200
2020-01-01,CSGC,China,5420
2020-01-01,EDGE,United Arab Emirates,5290
2020-01-01,General Electric,United States,5380
2020-01-01,Safran,France,4780
2020-01-01,Mitsubishi Heavy Industries,Japan,3550
2020-01-01,Rheinmetall,Germany,4710
2020-01-01,Elbit Systems,Israel,4370
2020-01-01,CACI International,United States,4930
2020-01-01,MBDA,Trans-European,4390
2020-01-01,AECC,China,3830
2020-01-01,Naval Group,France,3970
2020-01-01,Dassault Aviation Group,France,3940
2020-01-01,United Shipbuilding Corp.,Russia,4020
2020-01-01,Textron,United States,4150
2020-01-01,Israel Aerospace Industries,Israel,3620
2020-01-01,Sandia National Laboratories,United States,4040
2020-01-01,Saab,Sweden,3470
2020-01-01,Science Applications International Corp.,United States,3910
2020-01-01,Tactical Missiles Corp.,Russia,3530
2020-01-01,Perspecta,United States,3720
2020-01-01,Amentum,United States,3640
2020-01-01,KBR,United States,3640
2020-01-01,Hindustan Aeronautics,India,3150
2020-01-01,Babcock International Group,United Kingdom,3290
2020-01-01,Hanwha Aerospace,South Korea,2830
2020-01-01,General Atomics,United States,3250
2020-01-01,Rafael,Israel,2770
2020-01-01,CEA,France,2670
2020-01-01,Kawasaki Heavy Industries,Japan,1960
2020-01-01,Oshkosh Corp.,United States,2660
2020-01-01,ASELSAN,Türkiye,2060
2020-01-01,TransDigm Group,United States,2580
2020-01-01,Bechtel Corp.,United States,2550
2020-01-01,Fincantieri,Italy,2270
2020-01-01,ThyssenKrupp,Germany,2230
2020-01-01,Jacobs Engineering Group,United States,2340
2020-01-01,ManTech International Corp.,United States,2280
2020-01-01,Sierra Nevada Corp.,United States,2260
2020-01-01,Indian Ordnance Factories,India,2010
2020-01-01,ST Engineering,Singapore,2220
2020-01-01,Parker-Hannifin Corp.,United States,2170
2020-01-01,Korea Aerospace Industries,South Korea,1810
2020-01-01,Serco Group,United Kingdom,1990
2020-01-01,Fluor Corp.,United States,2000
2020-01-01,NCSIST,Taiwan,1710
2020-01-01,BWX Technologies,United States,1970
2020-01-01,Cobham,United Kingdom,1900
2020-01-01,DynCorp International,United States,1850
2020-01-01,Melrose Industries,United Kingdom,1700
2020-01-01,CNNC,China,1490
2020-01-01,Bharat Electronics,India,1550
2020-01-01,Krauss-Maffei Wegmann,Germany,1570
2020-01-01,Parsons Corp.,United States,1620
2020-01-01,PGZ,Poland,1700
2020-01-01,LIG Nex1,South Korea,1370
2020-01-01,Vectrus,United States,1570
2020-01-01,Aerojet Rocketdyne,United States,1570
2020-01-01,Fujitsu,Japan,1060
2020-01-01,UkrOboronProm,Ukraine,1500
2020-01-01,Hensoldt,Germany,1410
2020-01-01,Curtiss-Wright Corp.,United States,1480
2020-01-01,QinetiQ,United Kingdom,1430
2020-01-01,Moog,United States,1410
2020-01-01,Nexter,France,1260
2020-01-01,Hanwha Corp.,South Korea,1180
2020-01-01,Pacific Architects and Engineers,United States,1280
2020-01-01,Ball Corp.,United States,1270
2020-01-01,Teledyne Technologies,United States,1240
2020-01-01,Amphenol Corp.,United States,1210
2020-01-01,United Launch Alliance,United States,1200
2020-01-01,Howmet Aerospace,United States,1200
2020-01-01,The Aerospace Corp.,United States,1180
2020-01-01,Meggitt,United Kingdom,1130
2020-01-01,ViaSat,United States,1130
2020-01-01,Keysight Technologies,United States,1090
2020-01-01,Austal,Australia,1030
2020-01-01,Mitsubishi Electric Corp.,Japan,740
2021-01-01,Lockheed Martin Corp.,United States,67830
2021-01-01,Raytheon Technologies,United States,47050
2021-01-01,Boeing,United States,37570
2021-01-01,Northrop Grumman Corp.,United States,33590
2021-01-01,General Dynamics Corp.,United States,30970
2021-01-01,BAE Systems,United Kingdom,28820
2021-01-01,NORINCO,China,20200
2021-01-01,AVIC,China,18840
